Station,Day(Local_Date),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),Cloud(Octas),Vis(Km),Gale,Snow,Hail,Lighting,Thunder,Fog,R_evap(mm),S_evap(mm)
41351,20240701:0000,16,1.8,325,8.3,249,7.0,13.2,12.7,94.0,16.6,6.0,1.6,-,11.3,11.9,-,15.2,1014.7,1012.8,0.6,3.28,-,-,-,-,-,-,-,-,-,-
41351,20240702:0000,272,0.8,252,13.8,232,2.4,11.9,11.1,90.0,15.6,11.0,6.1,-,12.0,12.6,-,15.1,1009.0,1007.1,5.5,8.01,-,-,-,-,-,-,-,-,-,-
41351,20240703:0000,249,1.9,234,8.0,152,0.0,10.8,10.7,98.0,16.2,5.7,1.5,-,10.7,11.9,-,15.1,1019.0,1017.0,7.9,8.75,-,-,-,-,-,-,-,-,-,-
41351,20240704:0000,157,1.0,170,5.0,140,0.0,6.7,6.6,99.0,14.1,2.6,-1.3,-,9.1,10.9,-,15.0,1024.9,1022.9,9.2,9.91,-,-,-,-,-,-,-,-,-,-
41351,20240705:0000,156,2.2,215,7.5,151,0.8,6.7,6.3,94.0,13.7,0.2,-2.9,-,8.7,10.4,-,14.9,1023.8,1021.8,9.2,10.17,-,-,-,-,-,-,-,-,-,-
41351,20240706:0000,222,2.7,207,13.2,199,0.4,10.8,9.9,88.0,15.2,2.9,-0.2,-,9.8,10.5,-,14.8,1017.3,1015.3,4.8,7.46,-,-,-,-,-,-,-,-,-,-
41351,20240707:0000,271,1.4,251,10.2,208,1.0,10.2,10.1,99.0,15.0,2.9,-0.1,-,9.6,10.6,-,14.7,1019.9,1017.9,6.1,8.43,-,-,-,-,-,-,-,-,-,-
41351,20240708:0000,131,0.4,205,6.8,80,0.0,11.3,11.2,99.0,17.1,8.3,5.9,-,11.1,11.6,-,14.5,1026.2,1024.2,5.0,7.94,-,-,-,-,-,-,-,-,-,-
41351,20240709:0000,150,0.9,153,3.9,109,0.0,9.7,9.6,99.0,16.2,7.2,3.2,-,11.5,12.3,-,14.4,1035.9,1033.9,6.7,8.52,-,-,-,-,-,-,-,-,-,-
41351,20240710:0000,152,0.9,32,4.9,87,0.0,8.5,8.4,99.0,16.6,5.0,2.0,-,10.4,11.7,-,14.4,1039.4,1037.4,8.9,10.05,-,-,-,-,-,-,-,-,-,-
41351,20240711:0000,171,0.1,194,6.5,119,0.0,7.5,7.4,99.0,15.3,3.2,0.3,-,10.1,11.4,-,14.4,1036.9,1034.9,7.0,9.12,-,-,-,-,-,-,-,-,-,-
41351,20240712:0000,175,0.8,178,7.8,212,0.0,5.7,5.6,99.0,14.0,0.8,-2.4,-,8.9,10.7,-,14.4,1030.2,1028.2,9.4,10.45,-,-,-,-,-,-,-,-,-,-
41351,20240713:0000,167,2.2,104,6.1,176,0.0,8.0,6.4,78.0,15.1,4.2,0.4,-,9.0,10.4,-,14.3,1026.8,1024.8,9.3,10.28,-,-,-,-,-,-,-,-,-,-
41351,20240714:0000,143,2.5,60,12.6,462,7.2,9.5,8.2,83.0,15.8,4.8,1.9,-,9.5,10.4,-,14.2,1024.0,1022.0,3.2,5.76,-,-,-,-,-,-,-,-,-,-
41351,20240715:0000,71,5.9,64,15.5,236,17.6,14.0,13.5,94.0,14.8,9.2,9.2,-,11.9,11.7,-,14.1,1012.4,1010.5,0.0,2.71,-,-,-,-,-,-,-,-,-,-
